Sector,Year,FDI(₹ Crores),FDI(US$ Million)
MINING,2003-04,107.89,23.48
POWER,2003-04,124.48,27.09
NON-CONVENTIONAL ENERGY,2003-04,19.02,4.14
COAL PRODUCTION,2003-04,0.18,0.04
PETROLEUM & NATURAL GAS,2003-04,370.54,80.64
BOILERS AND STEAM GENERATING PLANTS,2003-04,0.18,0.04
PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2003-04,0.0,0.0
ELECTRICAL EQUIPMENTS,2003-04,336.35,73.2
COMPUTER SOFTWARE & HARDWARE,2003-04,1692.43,368.32
ELECTRONICS,2003-04,378.21,82.31
TELECOMMUNICATIONS,2003-04,397.42,86.49
INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2003-04,63.04,13.72
AUTOMOBILE INDUSTRY,2003-04,547.22,119.09
AIR TRANSPORT (INCLUDING AIR FREIGHT),2003-04,4.32,0.94
SEA TRANSPORT,2003-04,100.86,21.95
PORTS,2003-04,534.67,116.36
RAILWAY RELATED COMPONENTS,2003-04,13.56,2.95
INDUSTRIAL MACHINERY,2003-04,14.61,3.18
MACHINE TOOLS,2003-04,250.47,54.51
AGRICULTURAL MACHINERY,2003-04,218.45,47.54
EARTH-MOVING MACHINERY,2003-04,0.05,0.01
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2003-04,104.44,22.73
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2003-04,47.83,10.41
MEDICAL AND SURGICAL APPLIANCES,2003-04,9.05,1.97
INDUSTRIAL INSTRUMENTS,2003-04,1.38,0.3
SCIENTIFIC INSTRUMENTS,2003-04,0.09,0.02
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2003-04,0.0,0.0
FERTILIZERS,2003-04,99.16,21.58
CHEMICALS (OTHER THAN FERTILIZERS),2003-04,93.0,20.24
PHOTOGRAPHIC RAW FILM AND PAPER,2003-04,1.1,0.24
DYE-STUFFS,2003-04,1.98,0.43
DRUGS & PHARMACEUTICALS,2003-04,500.44,108.91
"TEXTILES (INCLUDING DYED,PRINTED)",2003-04,42.92,9.34
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2003-04,32.85,7.15
SUGAR,2003-04,0.0,0.0
FERMENTATION INDUSTRIES,2003-04,7.81,1.7
FOOD PROCESSING INDUSTRIES,2003-04,501.87,109.22
VEGETABLE OILS AND VANASPATI,2003-04,7.77,1.69
"SOAPS, COSMETICS & TOILET PREPARATIONS",2003-04,0.0,0.0
RUBBER GOODS,2003-04,29.27,6.37
"LEATHER,LEATHER GOODS AND PICKERS",2003-04,34.69,7.55
GLUE AND GELATIN,2003-04,0.0,0.0
GLASS,2003-04,24.08,5.24
CERAMICS,2003-04,6.75,1.47
CEMENT AND GYPSUM PRODUCTS,2003-04,44.02,9.58
TIMBER PRODUCTS,2003-04,0.51,0.11
DEFENCE INDUSTRIES,2003-04,0.0,0.0
CONSULTANCY SERVICES,2003-04,212.29,46.2
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2003-04,1245.93,271.15
HOSPITAL & DIAGNOSTIC CENTRES,2003-04,110.65,24.08
EDUCATION,2003-04,0.87,0.19
HOTEL & TOURISM,2003-04,226.81,49.36
TRADING,2003-04,143.0,31.12
RETAIL TRADING,2003-04,0.0,0.0
AGRICULTURE SERVICES,2003-04,2.71,0.59
"DIAMOND,GOLD ORNAMENTS",2003-04,9.01,1.96
TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2003-04,1.47,0.32
PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2003-04,0.0,0.0
COIR,2003-04,0.0,0.0
CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2003-04,0.0,0.0
"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2003-04,216.15,47.04
MISCELLANEOUS INDUSTRIES,2003-04,1082.03,235.48
METALLURGICAL INDUSTRIES,2004-05,900.31,200.38
